pair,test,required_sign,exact_value,decimal_display
Q0-Q1,circle_circle.inner_margin,+,20003/50,400.06
Q0-Q1,circle_circle.outer_margin,+,1997/50,39.94
Q0-Q1,ray_Q0_circle_Q1.line_discriminant,+,57/400,0.1425
Q0-Q1,ray_Q0_circle_Q1.anchor_power,+,3/50,0.06
Q0-Q1,ray_Q0_circle_Q1.vertex_ahead,+,9/20,0.45
Q0-Q1,ray_Q1_circle_Q0.line_discriminant,+,13263872679/336400,39428.8724108204518
Q0-Q1,ray_Q1_circle_Q0.anchor_power,+,2317609/5800,399.587758620689655
Q0-Q1,ray_Q1_circle_Q0.vertex_ahead,-,-115751/580,-199.570689655172414
Q0-Q1,ray_ray.direction_determinant,-,-17/145,-0.117241379310344828
Q0-Q1,ray_ray.Q0_parameter_minus_radius,+,261/68,3.83823529411764706
Q0-Q1,ray_ray.Q1_parameter_minus_radius,+,973/340,2.86176470588235294
Q0-Q2,circle_circle.inner_margin,+,195901533/3400,57618.0979411764706
Q0-Q2,circle_circle.outer_margin,+,76098467/3400,22381.9020588235294
Q0-Q2,ray_Q0_circle_Q2.line_discriminant,+,193697559/115600,1675.58442041522491
Q0-Q2,ray_Q0_circle_Q2.anchor_power,+,737533/3400,216.921470588235294
Q0-Q2,ray_Q0_circle_Q2.vertex_ahead,+,14791/340,43.5029411764705882
Q0-Q2,ray_Q2_circle_Q0.line_discriminant,+,19931654191/2890000,6896.76615605536332
Q0-Q2,ray_Q2_circle_Q0.anchor_power,+,92349/200,461.745
Q0-Q2,ray_Q2_circle_Q0.vertex_ahead,+,145829/1700,85.7817647058823529
Q0-Q2,ray_ray.direction_determinant,-,-77/85,-0.905882352941176471
Q0-Q2,ray_ray.Q0_parameter_minus_radius,+,1303/1540,0.846103896103896104
Q0-Q2,ray_ray.Q2_parameter_minus_radius,+,221/308,0.717532467532467532
Q0-Q3,circle_circle.inner_margin,+,261842809/5800,45145.3118965517241
Q0-Q3,circle_circle.outer_margin,+,202157191/5800,34854.6881034482759
Q0-Q3,ray_Q0_circle_Q3.line_discriminant,+,42898359/336400,127.521875743162901
Q0-Q3,ray_Q0_circle_Q3.anchor_power,+,206809/5800,35.6567241379310345
Q0-Q3,ray_Q0_circle_Q3.vertex_ahead,+,7409/580,12.7741379310344828
Q0-Q3,ray_Q3_circle_Q0.line_discriminant,+,1150893951/8410000,136.848270035671819
Q0-Q3,ray_Q3_circle_Q0.anchor_power,+,84221/200,421.105
Q0-Q3,ray_Q3_circle_Q0.vertex_ahead,+,68501/2900,23.6210344827586207
Q0-Q3,ray_ray.direction_determinant,+,144/145,0.993103448275862069
Q0-Q3,ray_ray.Q0_parameter_minus_radius,+,3007/2880,1.04409722222222222
Q0-Q3,ray_ray.Q3_parameter_minus_radius,+,29/576,0.0503472222222222222
Q1-Q2,circle_circle.inner_margin,+,14609/68,214.838235294117647
Q1-Q2,circle_circle.outer_margin,+,351/68,5.16176470588235294
Q1-Q2,ray_Q1_circle_Q2.line_discriminant,+,562449451551/607622500,925.656063676048863
Q1-Q2,ray_Q1_circle_Q2.anchor_power,+,17286209/246500,70.1266085192697769
Q1-Q2,ray_Q1_circle_Q2.vertex_ahead,+,388928/12325,31.5560243407707911
Q1-Q2,ray_Q2_circle_Q1.line_discriminant,+,67821/2890000,0.0234674740484429066
Q1-Q2,ray_Q2_circle_Q1.anchor_power,+,1/4,0.25
Q1-Q2,ray_Q2_circle_Q1.vertex_ahead,+,889/1700,0.522941176470588235
Q1-Q2,ray_ray.direction_determinant,-,-468/493,-0.949290060851926978
Q1-Q2,ray_ray.Q1_parameter_minus_radius,+,151/23400,0.00645299145299145299
Q1-Q2,ray_ray.Q2_parameter_minus_radius,+,8143/23400,0.347991452991452991
Q1-Q3,circle_circle.inner_margin,+,309877/1450,213.708275862068966
Q1-Q3,circle_circle.outer_margin,+,9123/1450,6.29172413793103448
Q1-Q3,ray_Q1_circle_Q3.line_discriminant,+,207269701311/442050625,468.882271823504378
Q1-Q3,ray_Q1_circle_Q3.anchor_power,+,32792513/420500,77.9845731272294887
Q1-Q3,ray_Q1_circle_Q3.vertex_ahead,+,983347/42050,23.3851843043995244
Q1-Q3,ray_Q3_circle_Q1.line_discriminant,+,317/42050,0.00753864447086801427
Q1-Q3,ray_Q3_circle_Q1.anchor_power,+,13/50,0.26
Q1-Q3,ray_Q3_circle_Q1.vertex_ahead,+,15/29,0.517241379310344828
Q1-Q3,ray_ray.direction_determinant,+,20447/21025,0.972508917954815696
Q1-Q3,ray_ray.Q1_parameter_minus_radius,+,247/29210,0.00845600821636425882
Q1-Q3,ray_ray.Q3_parameter_minus_radius,+,1131/2921,0.387196165696679219
Q2-Q3,circle_circle.inner_margin,+,36750269/986,37272.0780933062880
Q2-Q3,circle_circle.outer_margin,+,2689731/986,2727.92190669371197
Q2-Q3,ray_Q2_circle_Q3.line_discriminant,+,7002650391/972196,7202.92038950993421
Q2-Q3,ray_Q2_circle_Q3.anchor_power,+,7957/58,137.189655172413793
Q2-Q3,ray_Q2_circle_Q3.vertex_ahead,+,84475/986,85.6744421906693712
Q2-Q3,ray_Q3_circle_Q2.line_discriminant,+,4378230968959/607622500,7205.51159471382314
Q2-Q3,ray_Q3_circle_Q2.anchor_power,+,4617/34,135.794117647058824
Q2-Q3,ray_Q3_circle_Q2.vertex_ahead,+,2112047/24650,85.6814198782961460
Q2-Q3,ray_ray.direction_determinant,-,-6493/12325,-0.526815415821501014
Q2-Q3,ray_ray.Q2_parameter_minus_radius,+,4471/12986,0.344293854920683813
Q2-Q3,ray_ray.Q3_parameter_minus_radius,+,5075/12986,0.390805482827660558
